question_id,arm,model,refused,chpl_required,hard_pass,error,fidelity,clinical,traceability,safety
sor_001,chpl_ai,gpt-5.5-2026-04-23,False,True,True,,2,2,1,2
sor_001,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_001,gpt_web,gpt-5.5-2026-04-23,False,True,True,,2,2,1,2
sor_002,chpl_ai,gpt-5.5-2026-04-23,True,False,False,,2,0,0,2
sor_002,gpt_solo,gpt-5.5-2026-04-23,False,False,False,,0,2,0,1
sor_002,gpt_web,gpt-5.5-2026-04-23,False,False,False,,0,2,1,1
sor_003,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,1,1,2
sor_003,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,2
sor_003,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_004,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_004,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,1
sor_004,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,1
sor_005,chpl_ai,gpt-5.5-2026-04-23,False,False,False,,2,2,1,2
sor_005,gpt_solo,gpt-5.5-2026-04-23,False,False,False,,1,2,0,2
sor_005,gpt_web,gpt-5.5-2026-04-23,False,False,False,,1,2,1,2
sor_006,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_006,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,2
sor_006,gpt_web,gpt-5.5-2026-04-23,False,True,False,,0,1,1,1
sor_007,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_007,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,2
sor_007,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_008,chpl_ai,gpt-5.5-2026-04-23,False,False,False,,2,2,2,2
sor_008,gpt_solo,gpt-5.5-2026-04-23,False,False,True,,2,2,0,2
sor_008,gpt_web,gpt-5.5-2026-04-23,False,False,True,,1,2,1,2
sor_009,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_009,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,2,2,0,2
sor_009,gpt_web,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_010,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_010,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,1
sor_010,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,1
sor_011,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_011,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,2
sor_011,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_012,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,1,1,2
sor_012,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,0
sor_012,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,0
sor_013,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,1,1,2
sor_013,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,0,2,0,2
sor_013,gpt_web,gpt-5.5-2026-04-23,False,True,False,,0,2,1,2
sor_014,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,2,2
sor_014,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,1
sor_014,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,1
sor_015,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_015,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,2,2,0,1
sor_015,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_016,chpl_ai,gpt-5.5-2026-04-23,True,True,False,,2,0,1,2
sor_016,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,0,2,0,0
sor_016,gpt_web,gpt-5.5-2026-04-23,False,True,False,,0,2,1,0
sor_017,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_017,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,1,2,0,1
sor_017,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_018,chpl_ai,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_018,gpt_solo,gpt-5.5-2026-04-23,False,True,False,,2,2,1,2
sor_018,gpt_web,gpt-5.5-2026-04-23,False,True,False,,1,2,1,2
sor_019,chpl_ai,gpt-5.5-2026-04-23,True,False,False,,2,1,0,2
sor_019,gpt_solo,gpt-5.5-2026-04-23,False,False,False,,0,2,0,0
sor_019,gpt_web,gpt-5.5-2026-04-23,False,False,False,,0,2,1,0
sor_020,chpl_ai,gpt-5.5-2026-04-23,True,False,False,,2,0,0,2
sor_020,gpt_solo,gpt-5.5-2026-04-23,False,False,False,,1,2,0,1
sor_020,gpt_web,gpt-5.5-2026-04-23,False,False,False,,1,2,1,1
